A000000,A0A0000,A020000,A030000,A040000,A050000,A060000,A070000,A080000,A090000
A0009A4,A0A09A4,A0209A4,A0309A4,A0409A4,A0509A4,A0609A4,A0709A4,A0809A4,A0909A4
A0009A5,A0A09A5,A0209A5,A0309A5,A0409A5,A0509A5,A0609A5,A0709A5,A0809A5,A0909A5
A0009A6,A0A09A6,A0209A6,A0309A6,A0409A6,A0509A6,A0609A6,A0709A6,A0809A6,A0909A6
A0009A7,A0A09A7,A0209A7,A0309A7,A0409A7,A0509A7,A0609A7,A0709A7,A0809A7,A0909A7
A0009A8,A0A09A8,A0209A8,A0309A8,A0409A8,A0509A8,A0609A8,A0709A8,A0809A8,A0909A8
A0009A9,A0A09A9,A0209A9,A0309A9,A0409A9,A0509A9,A0609A9,A0709A9,A0809A9,A0909A9
A000920,A0A0920,A020920,A030920,A040920,A050920,A060920,A070920,A080920,A090920
A00092A,A0A092A,A02092A,A03092A,A04092A,A05092A,A06092A,A07092A,A08092A,A09092A
A000922,A0A0922,A020922,A030922,A040922,A050922,A060922,A070922,A080922,A090922
A000923,A0A0923,A020923,A030923,A040923,A050923,A060923,A070923,A080923,A090923
A000924,A0A0924,A020924,A030924,A040924,A050924,A060924,A070924,A080924,A090924
A000925,A0A0925,A020925,A030925,A040925,A050925,A060925,A070925,A080925,A090925
A000926,A0A0926,A020926,A030926,A040926,A050926,A060926,A070926,A080926,A090926
A000927,A0A0927,A020927,A030927,A040927,A050927,A060927,A070927,A080927,A090927
A000928,A0A0928,A020928,A030928,A040928,A050928,A060928,A070928,A080928,A090928
A000929,A0A0929,A020929,A030929,A040929,A050929,A060929,A070929,A080929,A090929
A000930,A0A0930,A020930,A030930,A040930,A050930,A060930,A070930,A080930,A090930
A00093A,A0A093A,A02093A,A03093A,A04093A,A05093A,A06093A,A07093A,A08093A,A09093A
A000932,A0A0932,A020932,A030932,A040932,A050932,A060932,A070932,A080932,A090932
A000933,A0A0933,A020933,A030933,A040933,A050933,A060933,A070933,A080933,A090933
A000934,A0A0934,A020934,A030934,A040934,A050934,A060934,A070934,A080934,A090934
A000935,A0A0935,A020935,A030935,A040935,A050935,A060935,A070935,A080935,A090935
A000936,A0A0936,A020936,A030936,A040936,A050936,A060936,A070936,A080936,A090936
A000937,A0A0937,A020937,A030937,A040937,A050937,A060937,A070937,A080937,A090937
A000938,A0A0938,A020938,A030938,A040938,A050938,A060938,A070938,A080938,A090938
A000939,A0A0939,A020939,A030939,A040939,A050939,A060939,A070939,A080939,A090939
A000940,A0A0940,A020940,A030940,A040940,A050940,A060940,A070940,A080940,A090940
A00094A,A0A094A,A02094A,A03094A,A04094A,A05094A,A06094A,A07094A,A08094A,A09094A
A000942,A0A0942,A020942,A030942,A040942,A050942,A060942,A070942,A080942,A090942
A000943,A0A0943,A020943,A030943,A040943,A050943,A060943,A070943,A080943,A090943
A000944,A0A0944,A020944,A030944,A040944,A050944,A060944,A070944,A080944,A090944
A000945,A0A0945,A020945,A030945,A040945,A050945,A060945,A070945,A080945,A090945
A000946,A0A0946,A020946,A030946,A040946,A050946,A060946,A070946,A080946,A090946
A000947,A0A0947,A020947,A030947,A040947,A050947,A060947,A070947,A080947,A090947
A000948,A0A0948,A020948,A030948,A040948,A050948,A060948,A070948,A080948,A090948
A000949,A0A0949,A020949,A030949,A040949,A050949,A060949,A070949,A080949,A090949
A000950,A0A0950,A020950,A030950,A040950,A050950,A060950,A070950,A080950,A090950
A00095A,A0A095A,A02095A,A03095A,A04095A,A05095A,A06095A,A07095A,A08095A,A09095A
A000952,A0A0952,A020952,A030952,A040952,A050952,A060952,A070952,A080952,A090952
A000953,A0A0953,A020953,A030953,A040953,A050953,A060953,A070953,A080953,A090953
A000954,A0A0954,A020954,A030954,A040954,A050954,A060954,A070954,A080954,A090954
A000955,A0A0955,A020955,A030955,A040955,A050955,A060955,A070955,A080955,A090955
A000956,A0A0956,A020956,A030956,A040956,A050956,A060956,A070956,A080956,A090956
A000957,A0A0957,A020957,A030957,A040957,A050957,A060957,A070957,A080957,A090957
A000958,A0A0958,A020958,A030958,A040958,A050958,A060958,A070958,A080958,A090958
A000959,A0A0959,A020959,A030959,A040959,A050959,A060959,A070959,A080959,A090959
A000960,A0A0960,A020960,A030960,A040960,A050960,A060960,A070960,A080960,A090960
A00096A,A0A096A,A02096A,A03096A,A04096A,A05096A,A06096A,A07096A,A08096A,A09096A
A000962,A0A0962,A020962,A030962,A040962,A050962,A060962,A070962,A080962,A090962
A000963,A0A0963,A020963,A030963,A040963,A050963,A060963,A070963,A080963,A090963
A000964,A0A0964,A020964,A030964,A040964,A050964,A060964,A070964,A080964,A090964
A000965,A0A0965,A020965,A030965,A040965,A050965,A060965,A070965,A080965,A090965
A000966,A0A0966,A020966,A030966,A040966,A050966,A060966,A070966,A080966,A090966
A000967,A0A0967,A020967,A030967,A040967,A050967,A060967,A070967,A080967,A090967
A000968,A0A0968,A020968,A030968,A040968,A050968,A060968,A070968,A080968,A090968
A000969,A0A0969,A020969,A030969,A040969,A050969,A060969,A070969,A080969,A090969
A000970,A0A0970,A020970,A030970,A040970,A050970,A060970,A070970,A080970,A090970
A00097A,A0A097A,A02097A,A03097A,A04097A,A05097A,A06097A,A07097A,A08097A,A09097A
A000972,A0A0972,A020972,A030972,A040972,A050972,A060972,A070972,A080972,A090972
A000973,A0A0973,A020973,A030973,A040973,A050973,A060973,A070973,A080973,A090973
A000974,A0A0974,A020974,A030974,A040974,A050974,A060974,A070974,A080974,A090974
A000975,A0A0975,A020975,A030975,A040975,A050975,A060975,A070975,A080975,A090975
A000976,A0A0976,A020976,A030976,A040976,A050976,A060976,A070976,A080976,A090976
A000977,A0A0977,A020977,A030977,A040977,A050977,A060977,A070977,A080977,A090977
A000978,A0A0978,A020978,A030978,A040978,A050978,A060978,A070978,A080978,A090978
A000979,A0A0979,A020979,A030979,A040979,A050979,A060979,A070979,A080979,A090979
A000980,A0A0980,A020980,A030980,A040980,A050980,A060980,A070980,A080980,A090980
A00098A,A0A098A,A02098A,A03098A,A04098A,A05098A,A06098A,A07098A,A08098A,A09098A
A000982,A0A0982,A020982,A030982,A040982,A050982,A060982,A070982,A080982,A090982
A000983,A0A0983,A020983,A030983,A040983,A050983,A060983,A070983,A080983,A090983
A000984,A0A0984,A020984,A030984,A040984,A050984,A060984,A070984,A080984,A090984
A000985,A0A0985,A020985,A030985,A040985,A050985,A060985,A070985,A080985,A090985
A000986,A0A0986,A020986,A030986,A040986,A050986,A060986,A070986,A080986,A090986
A000987,A0A0987,A020987,A030987,A040987,A050987,A060987,A070987,A080987,A090987
A000988,A0A0988,A020988,A030988,A040988,A050988,A060988,A070988,A080988,A090988
A000989,A0A0989,A020989,A030989,A040989,A050989,A060989,A070989,A080989,A090989
A000990,A0A0990,A020990,A030990,A040990,A050990,A060990,A070990,A080990,A090990
A00099A,A0A099A,A02099A,A03099A,A04099A,A05099A,A06099A,A07099A,A08099A,A09099A
A000992,A0A0992,A020992,A030992,A040992,A050992,A060992,A070992,A080992,A090992
A000993,A0A0993,A020993,A030993,A040993,A050993,A060993,A070993,A080993,A090993
A000994,A0A0994,A020994,A030994,A040994,A050994,A060994,A070994,A080994,A090994
A000995,A0A0995,A020995,A030995,A040995,A050995,A060995,A070995,A080995,A090995
A000996,A0A0996,A020996,A030996,A040996,A050996,A060996,A070996,A080996,A090996
A000997,A0A0997,A020997,A030997,A040997,A050997,A060997,A070997,A080997,A090997
A000998,A0A0998,A020998,A030998,A040998,A050998,A060998,A070998,A080998,A090998
A000999,A0A0999,A020999,A030999,A040999,A050999,A060999,A070999,A080999,A090999
